UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Connecticut Actual Load (MW),Maine Actual Load (MW),New Hampshire Actual Load (MW),Northeast Massachusetts Actual Load (MW),Rhode Island Actual Load (MW),Southeast Massachusetts Actual Load (MW),Vermont Actual Load (MW),Western/Central Massachusetts Actual Load (MW)
1/8/2024 8:00,1/8/2024 2:00,1/8/2024 3:00,1/8/2024,3,2668.514,1230.241,1157.57,2423.608,750.973,1415.899,591.149,1625.299
1/8/2024 9:00,1/8/2024 3:00,1/8/2024 4:00,1/8/2024,4,2673.232,1237.735,1171.364,2434.987,746.854,1421.581,588.468,1635.817
1/8/2024 10:00,1/8/2024 4:00,1/8/2024 5:00,1/8/2024,5,2764.997,1306.254,1215.21,2509.31,767.645,1460.065,604.616,1684.101
1/8/2024 11:00,1/8/2024 5:00,1/8/2024 6:00,1/8/2024,6,2974.381,1390.622,1317.652,2658.469,824.927,1571.843,648.025,1789.963
1/8/2024 12:00,1/8/2024 6:00,1/8/2024 7:00,1/8/2024,7,3311.527,1544.229,1468.024,2918.445,895.002,1747.227,721.674,1968.514
1/8/2024 13:00,1/8/2024 7:00,1/8/2024 8:00,1/8/2024,8,3556.753,1644.347,1562.434,3111.748,960.032,1861.63,772.87,2110.955
1/8/2024 14:00,1/8/2024 8:00,1/8/2024 9:00,1/8/2024,9,3684.535,1659.886,1605.509,3208.294,996.285,1973.217,791.22,2200.463
1/8/2024 15:00,1/8/2024 9:00,1/8/2024 10:00,1/8/2024,10,3649.586,1636.351,1600.952,3222.687,1008.271,1909.153,790.432,2208.842
1/8/2024 16:00,1/8/2024 10:00,1/8/2024 11:00,1/8/2024,11,3592.121,1600.214,1589.093,3211.478,1010.164,1891.144,769.672,2197.499
1/8/2024 17:00,1/8/2024 11:00,1/8/2024 12:00,1/8/2024,12,3519.46,1547.935,1572.148,3190.156,1007.424,1859.381,738.927,2182.106
1/8/2024 18:00,1/8/2024 12:00,1/8/2024 13:00,1/8/2024,13,3434.359,1519.6,1545.606,3142.032,989.628,1810.438,704.773,2151.903
